Transaction Date,Value Date,Narrative,Transaction Reference,Debit,Credit,Running Balance
19-03-2024,19-03-2024,IB-DFT-5451903249325584 Ref-pmnt agnst inv PINNACLE HOLDING LLC FZ,5451903249325584,"195,155.00",0.00,"350,482.00"
19-03-2024,19-03-2024,T314455282:-ADCB GDI CANARO TRADING L.L.C P O Box 384738 REFINVOICE PAYMENT,404C240319E0CDF2,0.00,"473,896.00","545,637.00"
16-03-2024,16-03-2024,VAT on Charges Amount,5451603248923040,0.75,0.00,"71,741.00"
16-03-2024,16-03-2024,IB-DFT-5451603248923040 Ref-REF 125 M J S STAR GENERAL TRADING LLC - Charges,5451603248923040,15.00,0.00,"71,741.75"
16-03-2024,16-03-2024,IB-DFT-5451603248923040 Ref-REF 125 M J S STAR GENERAL TRADING LLC,5451603248923040,"505,655.00",0.00,"71,756.75"
16-03-2024,16-03-2024,T313695981:-ADCB GDI CANARO TRADING L.L.C P O Box 384738 REFINVOICE PAYMENT,404C240316DC62EB,0.00,"521,763.00","577,411.75"
14-03-2024,14-03-2024,VAT on Charges Amount,5451403248597451,0.75,0.00,"55,648.75"
14-03-2024,14-03-2024,IB-DFT-5451403248597451 Ref-inter grp trf PINNACLE HOLDING LLC FZ - Charges,5451403248597451,15.00,0.00,"55,649.50"
14-03-2024,14-03-2024,IB-DFT-5451403248597451 Ref-inter grp trf PINNACLE HOLDING LLC FZ,5451403248597451,"501,633.00",0.00,"55,664.50"
13-03-2024,13-03-2024,033DBLC240730830:-BOML GDI VERVESTEN  FZCO REF,404G240313D73C7E,0.00,"499,638.00","557,297.50"
12-03-2024,12-03-2024,VAT on Charges Amount,5451203248343257,0.75,0.00,"57,659.50"
12-03-2024,12-03-2024,IB-DFT-5451203248343257 Ref-Pmnt agnst inv M J S STAR GENERAL TRADING  - Charges,5451203248343257,15.00,0.00,"57,660.25"
12-03-2024,12-03-2024,IB-DFT-5451203248343257 Ref-Pmnt agnst inv M J S STAR GENERAL TRADING LLC,5451203248343257,"497,823.00",0.00,"57,675.25"
12-03-2024,12-03-2024,033DBLC240720992:-BOML GDI VERVESTEN  FZCO REF,404C240312D5E0D8,0.00,"497,502.00","555,498.25"
08-03-2024,08-03-2024,VAT on Charges Amount,5450803247826565,0.75,0.00,"57,996.25"
08-03-2024,08-03-2024,IB-DFT-5450803247826565 Ref-pmnt agnst inv M J S STAR GENERAL TRADING  - Charges,5450803247826565,15.00,0.00,"57,997.00"
08-03-2024,08-03-2024,IB-DFT-5450803247826565 Ref-pmnt agnst inv M J S STAR GENERAL TRADING LLC,5450803247826565,"490,255.00",0.00,"58,012.00"
07-03-2024,07-03-2024,FT24067G4GGC:-NBAD GDI ALHAMBRA TRADING FZCO REFPAYMENT FOR INVOICE,404C240307CEDB83,0.00,"495,762.75","548,267.00"
05-03-2024,05-03-2024,VAT on Charges Amount,5450503247327843,0.75,0.00,"52,504.25"
05-03-2024,05-03-2024,IB-DFT-5450503247327843 Ref-PMNT AGNST INV M J S STAR GENERAL TRADING  - Charges,5450503247327843,15.00,0.00,"52,505.00"
05-03-2024,05-03-2024,IB-DFT-5450503247327843 Ref-PMNT AGNST INV M J S STAR GENERAL TRADING LLC,5450503247327843,"528,291.00",0.00,"52,520.00"
04-03-2024,04-03-2024,033DBLC240643523:-BOML GDI VERVESTEN  FZCO REF,404C240304C88A05,0.00,"529,048.00","580,811.00"
28-02-2024,28-02-2024,IB-INTT-5452802246351261 Ref-inter group trf Transfer within bank 19169328,5452802246351261,"249,200.00",0.00,"51,763.00"
28-02-2024,28-02-2024,VAT on Charges Amount,5452802246290623,0.75,0.00,"300,963.00"
28-02-2024,28-02-2024,IB-DFT-5452802246290623 Ref-allowance MARYAM JAVAID KHAN - Charges,5452802246290623,15.00,0.00,"300,963.75"
28-02-2024,28-02-2024,IB-DFT-5452802246290623 Ref-allowance MARYAM JAVAID KHAN,5452802246290623,"150,000.00",0.00,"300,978.75"
28-02-2024,28-02-2024,VAT on Charges Amount,5452802246289106,0.75,0.00,"450,978.75"
28-02-2024,28-02-2024,IB-DFT-5452802246289106 Ref-own account trf PINNACLE INTERNATIONAL GEN - Charges,5452802246289106,15.00,0.00,"450,979.50"
28-02-2024,28-02-2024,IB-DFT-5452802246289106 Ref-own account trf PINNACLE INTERNATIONAL GENERAL,5452802246289106,"200,100.00",0.00,"450,994.50"
28-02-2024,28-02-2024,VAT on Charges Amount,5452802246285542,0.75,0.00,"651,094.50"
28-02-2024,28-02-2024,IB-DFT-5452802246285542 Ref-ALLOWANCE ADITYA TRIVEDI ANIL TRIVEDI - Charges,5452802246285542,15.00,0.00,"651,095.25"
28-02-2024,28-02-2024,IB-DFT-5452802246285542 Ref-ALLOWANCE ADITYA TRIVEDI ANIL TRIVEDI,5452802246285542,"367,000.00",0.00,"651,110.25"
28-02-2024,28-02-2024,Monthly ChargesElite - Feb 2024,FE240228000534283602,52.50,0.00,"1,018,110.25"
27-02-2024,27-02-2024,OLB498737:-BMIS GDI TEKTON TRADING FZE REFGOODS PURCHASE,404G240227BBBF63,0.00,"911,408.00","1,018,162.75"
24-02-2024,24-02-2024,FT24055H02PJ:-NBFU GDI ROYAL EN EM GENERAL TRADING LLC THE REFOTHERS PAYMENT A,404G240224A71B9C,0.00,"104,255.00","106,754.75"
22-02-2024,22-02-2024,IB-INTT-5452202245533894 Ref-pmnt agnst inv Transfer within bank 19193337,5452202245533894,"10,985.00",0.00,"2,499.75"
20-02-2024,20-02-2024,IB-INTT-5452002245134563 Ref-inter group trf Transfer within bank 19169328,5452002245134563,"89,650.00",0.00,"13,484.75"
20-02-2024,20-02-2024,IB-INTT-5452002245096421 Ref-PAYMENT AGAINST INV    Transfer within bank 1915792,5452002245096421,0.00,"101,425.00","103,134.75"
08-02-2024,08-02-2024,VAT on Charges Amount,5450802243638165,0.75,0.00,"1,709.75"
08-02-2024,08-02-2024,IB-DFT-5450802243638165 Ref-ALLOWANCE MARYAM JAVAID KHAN - Charges,5450802243638165,15.00,0.00,"1,710.50"
08-02-2024,08-02-2024,IB-DFT-5450802243638165 Ref-ALLOWANCE MARYAM JAVAID KHAN,5450802243638165,"125,025.00",0.00,"1,725.50"
08-02-2024,08-02-2024,EPHCOP039032X1TK:-EBIL GDI RHINE MULTY TRADING L.L.C REFPAYMENT AGAINST INV,404G2402088B90B6,0.00,"125,258.00","126,750.50"
07-02-2024,07-02-2024,IB-INTT-5450702243491390 Ref-PMNT AGNST INV Transfer within bank 19193337,5450702243491390,"130,513.00",0.00,"1,492.50"
07-02-2024,07-02-2024,FT24038KX6J8:-NBFU GDI HEDGES GOODS WHOLESALERS LLC THE AT REFPAYMENT FOR TEXT,404C24020789C21D,0.00,"130,164.00","132,005.50"
02-02-2024,02-02-2024,VAT on Charges Amount,5450202242786289,0.75,0.00,"1,841.50"
02-02-2024,02-02-2024,IB-DFT-5450202242786289 Ref-INTER GRP TRF PINNACLE COMPUTER TRADING LL - Charges,5450202242786289,15.00,0.00,"1,842.25"
02-02-2024,02-02-2024,IB-DFT-5450202242786289 Ref-INTER GRP TRF PINNACLE COMPUTER TRADING LLC,5450202242786289,530.00,0.00,"1,857.25"
02-02-2024,02-02-2024,VAT on Charges Amount,5450202242769600,0.75,0.00,"2,387.25"
02-02-2024,02-02-2024,IB-DFT-5450202242769600 Ref-PMNT AGNST INV NIYAT GOODS WHOLESALERS LLC - Charges,5450202242769600,15.00,0.00,"2,388.00"
02-02-2024,02-02-2024,IB-DFT-5450202242769600 Ref-PMNT AGNST INV NIYAT GOODS WHOLESALERS LLC,5450202242769600,588.00,0.00,"2,403.00"
27-01-2024,27-01-2024,Monthly ChargesElite - Jan 2024,FE240127000533741885,52.50,0.00,"2,991.00"
23-01-2024,23-01-2024,VAT on Charges Amount,5452301241167327,0.75,0.00,"3,043.50"
23-01-2024,23-01-2024,IB-DFT-5452301241167327 Ref-allowance SANDEEP KEDIA - Charges,5452301241167327,15.00,0.00,"3,044.25"
23-01-2024,23-01-2024,IB-DFT-5452301241167327 Ref-allowance SANDEEP KEDIA,5452301241167327,"40,000.00",0.00,"3,059.25"
23-01-2024,23-01-2024,5452201249960332 RFND CUSTOMER CREDITS BLOCKED (INTERNAL),554O240123376390,0.00,"40,000.00","43,059.25"
23-01-2024,23-01-2024,VAT on Charges Amount,5452201249960332,0.75,0.00,"3,059.25"
23-01-2024,23-01-2024,IB-DFT-5452201249960332 Ref-allowance SANDEEP KEDIA - Charges,5452201249960332,15.00,0.00,"3,060.00"
23-01-2024,23-01-2024,IB-DFT-5452201249960332 Ref-allowance SANDEEP KEDIA,5452201249960332,"40,000.00",0.00,"3,075.00"
22-01-2024,22-01-2024,5452201249903026 RFND CUSTOMER CREDITS BLOCKED (INTERNAL),554O240122062380,0.00,"40,000.00","43,075.00"
22-01-2024,22-01-2024,VAT on Charges Amount,5452201249903026,0.75,0.00,"3,075.00"
22-01-2024,22-01-2024,IB-DFT-5452201249903026 Ref-ALLOWANCE SANDEEP KEDIA - Charges,5452201249903026,15.00,0.00,"3,075.75"
22-01-2024,22-01-2024,IB-DFT-5452201249903026 Ref-ALLOWANCE SANDEEP KEDIA,5452201249903026,"40,000.00",0.00,"3,090.75"
18-01-2024,18-01-2024,IB-DFT-5451801249484828 Ref-PAI K KOTHARI GENERAL TRADING LLC,5451801249484828,"498,334.00",0.00,"43,090.75"
18-01-2024,18-01-2024,FT240188DC5J:-NBAD GDI ALHAMBRA TRADING FZCO REFPAYMENT FOR INVOICE,404C24011853CE50,0.00,"538,994.75","541,424.75"
12-01-2024,12-01-2024,VAT on Charges Amount,5451201248726899,0.75,0.00,"2,430.00"
12-01-2024,12-01-2024,IB-DFT-5451201248726899 Ref-REF 01 Maryam Javaid Khan Muhammad Javaid  - Charges,5451201248726899,15.00,0.00,"2,430.75"
12-01-2024,12-01-2024,IB-DFT-5451201248726899 Ref-REF 01 Maryam Javaid Khan Muhammad Javaid,5451201248726899,"35,000.00",0.00,"2,445.75"
12-01-2024,12-01-2024,IB-INTT-5451201248725954 Ref-PAYMENT AGAINST INVOICE    Transfer within bank 191,5451201248725954,0.00,"36,907.00","37,445.75"
08-01-2024,08-01-2024,VAT on Charges Amount,5450801248078895,0.75,0.00,538.75
08-01-2024,08-01-2024,IB-DFT-5450801248078895 Ref-PAI COMIDA GOODS WHOLESALERS LLC - Charges,5450801248078895,15.00,0.00,539.50
08-01-2024,08-01-2024,IB-DFT-5450801248078895 Ref-PAI COMIDA GOODS WHOLESALERS LLC,5450801248078895,"124,050.00",0.00,554.50
06-01-2024,06-01-2024,Monthly ChargesElite - Dec 2023,FE240106000533202669,52.50,0.00,"124,604.50"
06-01-2024,06-01-2024,Monthly ChargesElite - Nov 2023,FE240106000532676501,52.50,0.00,"124,657.00"
06-01-2024,06-01-2024,Monthly ChargesElite - Oct 2023,FE240106000532153930,52.50,0.00,"124,709.50"
05-01-2024,05-01-2024,FT2400514J4D:-NBAD GDI HEDGES GOODS WHOLESALERS LLC REFPAYMENT AGAINST INVOICE,404G2401054219FE,0.00,"124,762.00","124,762.00"

