Transaction Date,Value Date,Narrative,Transaction Reference,Debit,Credit,Running Balance
04-06-2024,04-06-2024,VAT on Charges Amount,5450406242223677,0.75,0.00,"65,246.25"
04-06-2024,04-06-2024,IB-DFT-5450406242223677 Ref-REF 194 M J S STAR GENERAL TRADING LLC - Charges,5450406242223677,15.00,0.00,"65,247.00"
04-06-2024,04-06-2024,IB-DFT-5450406242223677 Ref-REF 194 M J S STAR GENERAL TRADING LLC,5450406242223677,"149,050.00",0.00,"65,262.00"
03-06-2024,03-06-2024,VAT on Charges Amount,5450306242050017,0.75,0.00,"214,312.00"
03-06-2024,03-06-2024,IB-DFT-5450306242050017 Ref-REF 189 PREMIUM EXIM TRADING LLC - Charges,5450306242050017,15.00,0.00,"214,312.75"
03-06-2024,03-06-2024,IB-DFT-5450306242050017 Ref-REF 189 PREMIUM EXIM TRADING LLC,5450306242050017,"94,140.00",0.00,"214,327.75"
31-05-2024,31-05-2024,EPHCOP15203TU0TF:-EBIL GDI RHINE MULTY TRADING L.L.C REFPMNT AGNST INV,404C240531A285B6,0.00,"300,287.00","308,467.75"
31-05-2024,31-05-2024,VAT on Charges Amount,5453105241701070,0.75,0.00,"8,180.75"
31-05-2024,31-05-2024,IB-DFT-5453105241701070 Ref-ref 234 NIYAT GOODS WHOLESALERS LLC - Charges,5453105241701070,15.00,0.00,"8,181.50"
31-05-2024,31-05-2024,IB-DFT-5453105241701070 Ref-ref 234 NIYAT GOODS WHOLESALERS LLC,5453105241701070,"1,975.00",0.00,"8,196.50"
31-05-2024,31-05-2024,IB-INTT-5453105241699760 Ref-ref 1 Transfer within bank 19193337,5453105241699760,"2,885.00",0.00,"10,171.50"
30-05-2024,30-05-2024,VAT on Charges Amount,5453005241571948,0.75,0.00,"13,056.50"
30-05-2024,30-05-2024,IB-DFT-5453005241571948 Ref-ref 111 ADITYA TRIVEDI - Charges,5453005241571948,15.00,0.00,"13,057.25"
30-05-2024,30-05-2024,IB-DFT-5453005241571948 Ref-ref 111 ADITYA TRIVEDI,5453005241571948,"499,550.00",0.00,"13,072.25"
30-05-2024,30-05-2024,LN76570325007040:-WIOB GDI BULLFROG TRADING LLC REFPMNT AGNST INV,404G240530A050E3,0.00,"509,985.00","512,622.25"
30-05-2024,30-05-2024,VAT on Charges Amount,5453005241443380,0.75,0.00,"2,637.25"
30-05-2024,30-05-2024,IB-DFT-5453005241443380 Ref-REF 32158 SANDEEP KEDIA - Charges,5453005241443380,15.00,0.00,"2,638.00"
30-05-2024,30-05-2024,IB-DFT-5453005241443380 Ref-REF 32158 SANDEEP KEDIA,5453005241443380,"261,075.00",0.00,"2,653.00"
30-05-2024,30-05-2024,VAT on Charges Amount,5453005241441498,0.75,0.00,"263,728.00"
30-05-2024,30-05-2024,IB-DFT-5453005241441498 Ref-REF 012 ADITYA TRIVEDI - Charges,5453005241441498,15.00,0.00,"263,728.75"
30-05-2024,30-05-2024,IB-DFT-5453005241441498 Ref-REF 012 ADITYA TRIVEDI,5453005241441498,"490,500.00",0.00,"263,743.75"
30-05-2024,30-05-2024,IBFT24151JR7CD:-NBSH GDI RHINE MULTY TRADING LLC DUBAI AE REFTOF - TRANSFER OF,404G2405309E9E04,0.00,"753,590.00","754,243.75"
29-05-2024,29-05-2024,IB-INTT-5452905241284467 Ref-REF126 Transfer within bank 19193337,5452905241284467,"371,450.00",0.00,653.75
28-05-2024,28-05-2024,LN74832306717424:-WIOB CIN Aditya Trivedi Anil Trivedi REFSent from Wio Bank,404C2405289A5D36,0.00,"367,000.00","372,103.75"
28-05-2024,28-05-2024,Monthly ChargesElite - May 2024,FE240528000535939043,131.25,0.00,"5,103.75"
27-05-2024,27-05-2024,IB-INTT-5452705249747267 Ref-ref 2156 Transfer within bank 19193337,5452705249747267,"671,128.00",0.00,"5,235.00"
25-05-2024,25-05-2024,IBFT24146S1XNX:-NBSH GDI RHINE MULTY TRADING LLC DUBAI AE REFPMNT AGNST INV,404C24052586D654,0.00,"670,525.00","676,363.00"
18-05-2024,18-05-2024,VAT on Charges Amount,5451805248572716,0.75,0.00,"5,838.00"
18-05-2024,18-05-2024,IB-DFT-5451805248572716 Ref-ref 2158 MARYAM JAVAID KHAN - Charges,5451805248572716,15.00,0.00,"5,838.75"
18-05-2024,18-05-2024,IB-DFT-5451805248572716 Ref-ref 2158 MARYAM JAVAID KHAN,5451805248572716,"15,150.00",0.00,"5,853.75"
18-05-2024,18-05-2024,FT241395VFDK:-GDI RHINE MULTY TRADING LLC,554A240518950871,0.00,"14,800.00","21,003.75"
17-05-2024,17-05-2024,VAT on Charges Amount,5451605248352434,7.25,0.00,"6,203.75"
17-05-2024,17-05-2024,IB-IFT-5451605248352434 Ref-REF 1140 WHITE INK TRADE PRIVATE LIMITED - Charges,5451605248352434,145.00,0.00,"6,211.00"
17-05-2024,17-05-2024,IB-IFT-5451605248352434 Ref-REF 1140 WHITE INK TRADE PRIVATE LIMITED,5451605248352434,"738,000.00",0.00,"6,356.00"
16-05-2024,16-05-2024,FT24137G0CHJ:-NBAD GDI SILVERIT TRADING DWC LLC REFGOODS PURCHASE,404C2405166F6033,0.00,"492,011.00","744,356.00"
16-05-2024,16-05-2024,FT24137WTXXL:-NBFU GDI HEDGES GOODS WHOLESALERS LLC THE AT REFOTHERS,404G2405166F475A,0.00,"249,566.00","252,345.00"
27-04-2024,27-04-2024,Monthly ChargesElite - Apr 2024,FE240427000535379131,131.25,0.00,"2,779.00"
17-04-2024,17-04-2024,VAT on Charges Amount,5451704244036379,0.75,0.00,"2,910.25"
17-04-2024,17-04-2024,IB-DFT-5451704244036379 Ref-REF116 ADITYA TRIVEDI ANIL TRIVEDI - Charges,5451704244036379,15.00,0.00,"2,911.00"
17-04-2024,17-04-2024,IB-DFT-5451704244036379 Ref-REF116 ADITYA TRIVEDI ANIL TRIVEDI,5451704244036379,"146,474.00",0.00,"2,926.00"
17-04-2024,17-04-2024,FT24108G862Q:-ABIN GDI HEDGES GOODS WHOLESALERS LLC REFPAYMENT AGAINST INV,404G24041725FC42,0.00,"146,510.00","149,400.00"
17-04-2024,17-04-2024,VAT on Charges Amount,5451704244029878,0.75,0.00,"2,890.00"
17-04-2024,17-04-2024,IB-DFT-5451704244029878 Ref-REF 092 ADITYA TRIVEDI ANIL TRIVEDI - Charges,5451704244029878,15.00,0.00,"2,890.75"
17-04-2024,17-04-2024,IB-DFT-5451704244029878 Ref-REF 092 ADITYA TRIVEDI ANIL TRIVEDI,5451704244029878,"498,526.00",0.00,"2,905.75"
17-04-2024,17-04-2024,033DBLC241081634:-BOML GDI VERVESTEN FZCO REF,404G24041725EBAC,0.00,"497,062.00","501,431.75"
17-04-2024,17-04-2024,VAT on Charges Amount,5451704243981930,0.75,0.00,"4,369.75"
17-04-2024,17-04-2024,IB-DFT-5451704243981930 Ref-REF 085 M J S STAR GENERAL TRADING LLC - Charges,5451704243981930,15.00,0.00,"4,370.50"
17-04-2024,17-04-2024,IB-DFT-5451704243981930 Ref-REF 085 M J S STAR GENERAL TRADING LLC,5451704243981930,"229,875.00",0.00,"4,385.50"
17-04-2024,17-04-2024,IB-INTT-5451704243979588 Ref-REF 108    Transfer within bank 19152340PYMT AGAINS,5451704243979588,0.00,"225,412.00","234,260.50"
15-04-2024,15-04-2024,IB-INTT-5451504243757454 Ref-pmnt agnst inv Transfer within bank 19159221,5451504243757454,"2,050.00",0.00,"8,848.50"
15-04-2024,15-04-2024,VAT on Charges Amount,5451504243749417,0.75,0.00,"10,898.50"
15-04-2024,15-04-2024,IB-DFT-5451504243749417 Ref-REF025 M J S STAR GENERAL TRADING LLC - Charges,5451504243749417,15.00,0.00,"10,899.25"
15-04-2024,15-04-2024,IB-DFT-5451504243749417 Ref-REF025 M J S STAR GENERAL TRADING LLC,5451504243749417,"336,420.00",0.00,"10,914.25"
15-04-2024,15-04-2024,VAT on Charges Amount,5451504243748179,0.75,0.00,"347,334.25"
15-04-2024,15-04-2024,IB-DFT-5451504243748179 Ref-REF011 MARYAM JAVAID KHAN - Charges,5451504243748179,15.00,0.00,"347,335.00"
15-04-2024,15-04-2024,IB-DFT-5451504243748179 Ref-REF011 MARYAM JAVAID KHAN,5451504243748179,"150,211.00",0.00,"347,350.00"
15-04-2024,15-04-2024,IB-INTT-5451504243707366 Ref-GOODS PURCHASE    Transfer within bank 19152211PINN,5451504243707366,0.00,"496,831.00","497,561.00"
04-04-2024,04-04-2024,VAT on Charges Amount,5450404242882193,0.75,0.00,730.00
04-04-2024,04-04-2024,IB-DFT-5450404242882193 Ref-089 PINNACLE HOLDING LLC FZ - Charges,5450404242882193,15.00,0.00,730.75
04-04-2024,04-04-2024,IB-DFT-5450404242882193 Ref-089 PINNACLE HOLDING LLC FZ,5450404242882193,"58,864.00",0.00,745.75
03-04-2024,03-04-2024,VAT on Charges Amount,5450304242670235,0.75,0.00,"59,609.75"
03-04-2024,03-04-2024,IB-DFT-5450304242670235 Ref-inter grp trf PINNACLE HOLDING LLC FZ - Charges,5450304242670235,15.00,0.00,"59,610.50"
03-04-2024,03-04-2024,IB-DFT-5450304242670235 Ref-inter grp trf PINNACLE HOLDING LLC FZ,5450304242670235,"238,766.00",0.00,"59,625.50"
03-04-2024,03-04-2024,VAT on Charges Amount,5450304242667806,0.75,0.00,"298,391.50"
03-04-2024,03-04-2024,IB-DFT-5450304242667806 Ref-pmnt agnst inv LA REVE GENERAL TRADING LLC - Charges,5450304242667806,15.00,0.00,"298,392.25"
03-04-2024,03-04-2024,IB-DFT-5450304242667806 Ref-pmnt agnst inv LA REVE GENERAL TRADING LLC,5450304242667806,"250,170.00",0.00,"298,407.25"
03-04-2024,03-04-2024,033DBLC240941397:-BOML GDI VERVESTEN FZCO REF,404G24040312611D,0.00,"497,593.00","548,577.25"

